id,name,latitude,longitude,population
610209,VOLTA,41.971634,-87.724605,744
400052,NOBLE - COMER,41.764083,-87.601974,1034
400168,GREAT LAKES,41.742671,-87.559907,536
610596,VIRTUAL ACADEMY ES,41.8627144,-87.6601387,235
610083,BEARD,41.970125,-87.78963,348
609852,CHAPPELL,41.975894,-87.683264,566
400056,NOBLE - ROWE CLARK HS,41.895362,-87.718047,340
609783,JEFFERSON HS,41.867832,-87.680418,173
610158,SAYRE,41.914151,-87.798721,400
609995,HITCH,41.983672,-87.779123,502
400071,PROVIDENCE ENGLEWOOD,41.775367,-87.663996,455
609930,FUNSTON,41.917617,-87.716892,423
610557,PATHWAYS - ASHBURN HS,41.735239,-87.70406,257
610563,BACK OF THE YARDS HS,41.808413,-87.677541,1000
610152,RUGGLES,41.751946,-87.618066,314
610082,MOUNT GREENWOOD,41.695734,-87.70581,1153
610096,NIGHTINGALE,41.797714,-87.689139,954
609990,SOUTH LOOP,41.859741,-87.628349,830
610573,SAFE ACHIEVE HS,41.753115,-87.551804,32
610381,BRONZEVILLE HS,41.805204,-87.625004,103
400141,YCCS - TRUMAN,41.965295,-87.659239,168
400021,CATALYST - CIRCLE ROCK,41.882322,-87.765322,504
400059,NLCP - COLLINS HS,41.864146,-87.700681,352
610304,PHOENIX MILITARY HS,41.879118,-87.68696,404
609996,HOLDEN,41.838027,-87.653792,421
610040,LLOYD,41.918814,-87.748515,808
400157,NOBLE - BAKER HS,41.734622,-87.556201,237
610225,WHISTLER,41.683907,-87.655384,251
400076,U OF C - NKO,41.811183,-87.598786,325
610386,PEACE AND EDUCATION HS,41.803515,-87.667378,135
609769,GRAHAM HS,41.849675,-87.625315,255
610244,CLARK HS,41.872885,-87.753325,391
400163,KIPP - BLOOM,41.793556,-87.639967,919
610200,THORP J,41.733324,-87.54428,315
609793,NICHOLSON,41.784942,-87.647453,439
609815,BOUCHET,41.760847,-87.576075,639
609884,DEVER,41.942552,-87.813132,747
610588,RICHARDSON,41.783826,-87.725422,840
609919,FISKE,41.785183,-87.608633,378
400162,INTRINSIC HS,41.938988,-87.741129,941
609944,GRISSOM,41.662481,-87.553307,290
610599,CATALPA,41.9759599,-87.7663557,177
400133,YCCS - INNOVATIONS,41.883047,-87.627734,426
609691,NORTH-GRAND HS,41.911674,-87.735238,1045
609891,DOOLITTLE,41.831121,-87.612275,261
609739,WASHINGTON HS,41.688137,-87.53757,1481
610561,CRANE MEDICAL HS,41.876947,-87.683301,266
609796,BEAUBIEN,41.972394,-87.757565,1019
610215,MADERO,41.840957,-87.705064,247
610271,JENSEN,41.873815,-87.702241,255
400064,PERSPECTIVES - JOSLIN HS,41.855999,-87.628531,327
609988,HENRY,41.958989,-87.715632,429
400135,YCCS - LATINO YOUTH,41.854665,-87.69543,155
400009,GLOBAL CITIZENSHIP,41.807579,-87.740097,474
610091,BROWN R,41.664873,-87.638958,285
609864,COOK,41.745237,-87.659775,276
610041,LOCKE J,41.931762,-87.795604,1126
609954,GREGORY,41.870742,-87.718666,233
610532,HERNANDEZ,41.793479,-87.71137,750
610218,WARREN,41.726763,-87.575353,277
610116,PARKSIDE,41.768555,-87.582954,243
400164,INSTITUTO - JUSTICE HS,41.845957,-87.685903,42
609895,TURNER-DREW,41.725609,-87.630164,193
610104,ONAHAN,41.99379,-87.793108,645
609850,GREELEY,41.95281,-87.65098,428
610076,MOOS,41.912505,-87.696941,454
609950,ORTIZ DE DOMINGUEZ,41.838791,-87.71719,396
610595,FISHER,41.916008,-87.634637,126
610011,JAMIESON,41.984641,-87.700529,802
400081,ACERO - DE LAS CASAS,41.859504,-87.667949,218
400062,PERSPECTIVES - TECH HS,41.745949,-87.650657,404
400024,CICS - BASIL,41.794043,-87.670243,481
610137,PRUSSING,41.965619,-87.772414,659
610392,WORLD LANGUAGE HS,41.834397,-87.735292,327
400079,ACERO - ZIZUMBO,41.810135,-87.730495,533
610594,PATHWAYS - HUMBOLDT PARK HS,41.902841,-87.687946,153
610139,PULLMAN,41.688819,-87.609431,311
610110,WELLS ES,41.827355,-87.61978,328
609762,JULIAN HS,41.705859,-87.653749,466
